train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
273.3174133300781,0,4,,,,,,
,0,5,164258.84375,261.4512023925781,,,,
,0,5,,,675790.875,531.1718139648438,,
165.13377380371094,1,9,,,,,,
,1,11,147815.484375,250.75474548339844,,,,
,1,11,,,176836.640625,254.2414093017578,,
414.20721435546875,2,14,,,,,,
,2,17,146262.890625,252.91990661621094,,,,
,2,17,,,178035.1875,278.8904113769531,,
310.27130126953125,3,19,,,,,,
,3,23,131664.1875,242.68194580078125,,,,
,3,23,,,162338.53125,265.3832702636719,,
264.5462341308594,4,24,,,,,,
191.1817169189453,4,29,,,,,,
,4,29,128270.6796875,241.41943359375,,,,
,4,29,,,150680.953125,252.15065002441406,,
269.25164794921875,5,34,,,,,,
,5,35,133007.09375,265.4623718261719,,,,
,5,35,,,131760.828125,241.14683532714844,,
258.029052734375,6,39,,,,,,
,6,41,120716.3828125,248.09181213378906,,,,
,6,41,,,168051.09375,258.7535400390625,,
281.32470703125,7,44,,,,,,
,7,47,128351.1953125,265.0622863769531,,,,
,7,47,,,160808.328125,264.3440246582031,,
232.49905395507812,8,49,,,,,,
,8,53,131468.203125,247.32542419433594,,,,
,8,53,,,119399.6015625,235.3335418701172,,
294.75286865234375,9,54,,,,,,
207.81813049316406,9,59,,,,,,
,9,59,116876.078125,243.87977600097656,,,,
,9,59,,,144315.0,253.9466552734375,,
345.1710205078125,10,64,,,,,,
,10,65,116502.5,240.24853515625,,,,
,10,65,,,133398.625,248.5580596923828,,
255.00379943847656,11,69,,,,,,
,11,71,114348.5703125,237.93626403808594,,,,
,11,71,,,144022.875,250.69705200195312,,
242.85311889648438,12,74,,,,,,
,12,77,117982.7421875,237.588623046875,,,,
,12,77,,,141426.6875,258.01318359375,,
260.522705078125,13,79,,,,,,
,13,83,114968.5078125,240.80335998535156,,,,
,13,83,,,150379.0,260.5415344238281,,
300.0996398925781,14,84,,,,,,
131.1483917236328,14,89,,,,,,
,14,89,113876.4453125,243.01416015625,,,,
,14,89,,,124629.5625,230.82208251953125,,
185.31878662109375,15,94,,,,,,
,15,95,125301.1328125,258.5546569824219,,,,
,15,95,,,152093.625,261.8451232910156,,
301.18890380859375,16,99,,,,,,
,16,101,114900.171875,237.35513305664062,,,,
,16,101,,,147824.65625,255.69642639160156,,
210.96002197265625,17,104,,,,,,
,17,107,140531.5625,254.7622528076172,,,,
