job_id,firm_id,firm_name,white,callback
10,1,Rite Aid,1,0
9827,2,KFC,1,0
12016,3,Victoria's Secret,0,1
9514,4,United Rentals,1,0
10012,5,Cardinal Health,1,0
137,6,DaVita,1,0
7834,7,Charter / Spectrum,0,0
7458,8,Tractor Supply,0,0
6387,9,Macy's,0,0
11976,10,McLane Company,0,1
8096,11,CVS Health,0,0
4123,12,J.C. Penney,0,0
3226,13,Sears (incl. repair / auto),0,0
4937,14,Home Depot,1,0
5602,15,US Bank,1,0
369,16,AutoNation,0,0
496,18,Kroger,0,1
4174,19,Costco,1,0
11305,20,Waste Management,1,0
12382,21,Ryder System,1,1
12260,22,XPO Logistics,1,0
652,23,Nordstrom,1,0
7651,24,Gap,0,0
8872,25,Lowe's,1,1
705,26,Republic Services,1,0
2720,28,Sherwin-Williams,0,0
696,29,Foot Locker,1,0
771,30,AT&T,1,0
10582,31,Advance Auto Parts,0,0
818,33,Quest Diagnostics,1,0
3000,34,Sysco,1,0
878,35,State Farm,1,0
7871,36,Ross Stores,1,0
8131,37,Kohl's,1,1
1144,38,Taco Bell,1,1
4982,39,Dick's,1,0
3500,40,UnitedHealth,1,0
5199,41,Olive Garden,1,1
1042,42,Nationwide,0,0
1213,43,Bank of America,1,0
9497,44,AutoZone,0,0
6007,45,TJX,1,0
3883,46,J.B. Hunt,1,0
7774,47,Walgreens,1,0
1250,49,Avis-Budget,0,1
12468,50,Marriott,1,0
2830,51,Aramark,1,0
1485,52,Target,1,1
8452,53,Bed Bath & Beyond,1,0
3949,54,Honeywell,0,0
2801,55,Disney (incl. stores),0,0
8104,56,International Paper,1,0
6232,57,Ulta Beauty,1,0
4472,58,Dillard's,1,0
5702,60,Pilot Flying J,0,0
8745,62,DISH,1,1
11866,63,Pizza Hut,1,0
6789,64,Morgan Stanley,0,0
1587,65,Coca-Cola,0,0
3664,66,Lab Corp,1,0
4001,68,Starbucks,1,1
7441,69,AECOM,1,1
3529,70,Bath & Body Works,0,1
8982,71,Allstate,1,0
7253,72,Hertz,1,0
5675,73,Hilton,0,1
8915,74,O'Reilly Automotive,0,0
9902,75,Genuine Parts (Napa Auto),0,0
1873,76,Wells Fargo,0,0
1816,78,JPMorgan Chase,0,0
7497,79,US Foods,1,0
2184,80,Walmart,1,0
9152,81,CBRE,1,0
6939,82,Dollar Tree,1,0
3372,83,Best Buy,1,0
2424,84,Goodyear,1,0
2104,86,Murphy USA,1,0
11095,87,Tyson Foods,0,1
11537,89,Publix,0,1
4024,90,Edward Jones,1,1
2252,91,Geico,1,1
2304,92,PepsiCo,1,0
7906,93,BB&T,0,0
3090,94,Comcast,0,1
6745,95,Dollar General,0,0
10108,96,Safeway,1,0
2532,97,GameStop,1,0
7287,98,FedEx,0,0
4695,100,CarMax,1,0
3889,101,Humana,0,0
7926,103,Mondelez,0,0
8259,104,Cintas,1,0
5822,105,VFC (North Face / Vans),0,0
3475,106,Stanley Black & Decker,1,0
7677,107,WestRock,0,0
10981,109,Dr Pepper,1,1
5983,110,ADP,0,0
8217,112,Jones Lang LaSalle,0,0
6568,113,Universal Health,1,1
10167,114,Kindred Healthcare,0,0
5002,116,Aetna,0,0
9803,117,Estee Lauder,1,1
11359,118,LKQ Auto,1,0
11558,119,Ascena (Ann Taylor / Loft),1,1
9505,120,Dean Foods,0,0
10121,121,Builders FirstSource,1,1
9594,122,Performance Food Group,1,1
9023,123,UGI,0,0
8548,1,Rite Aid,0,0
10390,1,Rite Aid,1,1
10176,1,Rite Aid,1,0
7480,1,Rite Aid,1,0
10389,1,Rite Aid,0,0
6542,1,Rite Aid,1,1
24,1,Rite Aid,0,0
4656,1,Rite Aid,0,0
4625,1,Rite Aid,1,0
24,1,Rite Aid,1,0
7486,1,Rite Aid,1,0
7418,1,Rite Aid,1,0
7478,1,Rite Aid,1,0
7483,1,Rite Aid,1,1
14,1,Rite Aid,0,0
6688,1,Rite Aid,0,0
11,1,Rite Aid,0,0
3,1,Rite Aid,0,0
25,1,Rite Aid,0,0
4659,1,Rite Aid,0,0
4646,1,Rite Aid,1,0
6688,1,Rite Aid,1,0
9318,1,Rite Aid,1,0
4626,1,Rite Aid,0,0
4626,1,Rite Aid,0,0
9322,1,Rite Aid,0,0
8546,1,Rite Aid,0,0
7419,1,Rite Aid,0,0
4652,1,Rite Aid,0,0
4656,1,Rite Aid,1,0
6695,1,Rite Aid,0,0
4537,1,Rite Aid,0,0
9320,1,Rite Aid,0,0
4596,1,Rite Aid,0,0
6688,1,Rite Aid,1,0
7482,1,Rite Aid,1,0
6690,1,Rite Aid,1,0
6693,1,Rite Aid,1,0
10179,1,Rite Aid,0,1
7486,1,Rite Aid,0,0
6542,1,Rite Aid,0,1
4646,1,Rite Aid,1,0
58,1,Rite Aid,1,0
6687,1,Rite Aid,1,0
4625,1,Rite Aid,1,0
9318,1,Rite Aid,0,0
7421,1,Rite Aid,0,0
6689,1,Rite Aid,0,0
10181,1,Rite Aid,0,0
8548,1,Rite Aid,0,0
24,1,Rite Aid,0,0
4597,1,Rite Aid,0,1
10392,1,Rite Aid,0,0
10389,1,Rite Aid,1,0
20,1,Rite Aid,1,0
4627,1,Rite Aid,0,0
4656,1,Rite Aid,0,0
8550,1,Rite Aid,0,1
10181,1,Rite Aid,0,1
8551,1,Rite Aid,1,0
10174,1,Rite Aid,1,0
9323,1,Rite Aid,1,0
9322,1,Rite Aid,1,0
7485,1,Rite Aid,0,0
10659,1,Rite Aid,0,0
21,1,Rite Aid,0,0
4652,1,Rite Aid,1,0
8,1,Rite Aid,0,0
10658,1,Rite Aid,0,0
23,1,Rite Aid,0,0
4651,1,Rite Aid,0,0
8547,1,Rite Aid,0,0
7418,1,Rite Aid,0,0
6694,1,Rite Aid,0,0
10176,1,Rite Aid,0,0
17,1,Rite Aid,0,1
4651,1,Rite Aid,0,0
19,1,Rite Aid,0,0
7419,1,Rite Aid,1,0
10656,1,Rite Aid,1,0
10663,1,Rite Aid,1,0
8550,1,Rite Aid,1,1
7482,1,Rite Aid,1,0
7480,1,Rite Aid,1,0
18,1,Rite Aid,1,0
67,1,Rite Aid,0,0
7,1,Rite Aid,0,0
9325,1,Rite Aid,0,0
10660,1,Rite Aid,1,0
7418,1,Rite Aid,0,0
7480,1,Rite Aid,1,0
4,1,Rite Aid,0,0
16,1,Rite Aid,0,1
16,1,Rite Aid,1,0
4627,1,Rite Aid,1,0
6687,1,Rite Aid,1,0
9611,1,Rite Aid,1,0
4,1,Rite Aid,0,1
10655,1,Rite Aid,0,0
8552,1,Rite Aid,0,0
9320,1,Rite Aid,1,0
12,1,Rite Aid,1,0
10389,1,Rite Aid,0,0
10659,1,Rite Aid,1,0
6687,1,Rite Aid,0,0
4626,1,Rite Aid,0,0
8553,1,Rite Aid,1,0
12,1,Rite Aid,1,0
24,1,Rite Aid,1,1
4656,1,Rite Aid,0,0
4595,1,Rite Aid,1,0
8,1,Rite Aid,0,0
9325,1,Rite Aid,1,0
9,1,Rite Aid,1,0
4649,1,Rite Aid,1,1
9606,1,Rite Aid,1,1
20,1,Rite Aid,0,0
8553,1,Rite Aid,1,0
10655,1,Rite Aid,0,0
25,1,Rite Aid,1,0
4647,1,Rite Aid,0,0
10657,1,Rite Aid,1,1
15,1,Rite Aid,0,0
4654,1,Rite Aid,0,0
10174,1,Rite Aid,0,0
9320,1,Rite Aid,0,0
13,1,Rite Aid,0,1
